epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9274,3.34228,95.5645,2.99657,0.44458,0.48421,0.41328,0.19396,3.59136,5.35884,3.57045,0.0029,0.0029,0.0029
2,66.0257,2.92054,3.47925,2.70228,0.67975,0.69264,0.76995,0.44611,3.21241,8.16173,3.28589,0.00589416,0.00589416,0.00589416
3,84.8673,3.04408,3.83887,2.63143,0.53254,0.63558,0.59773,0.31,3.35858,49.7273,3.4156,0.00888238,0.00888238,0.00888238
4,103.694,3.11706,3.99272,2.87587,0.23605,0.57895,0.17905,0.07929,3.65737,inf,4.0948,0.0099703,0.0099703,0.0099703
5,122.574,3.13674,2.96467,2.75204,0.04523,0.75789,0.04072,0.01701,3.55049,inf,4.07594,0.0099604,0.0099604,0.0099604
6,141.463,3.03437,2.88733,2.7498,0.06083,0.76842,0.07379,0.03687,2.9916,3412.4,3.37484,0.0099505,0.0099505,0.0099505
7,160.362,3.06432,2.8108,2.7558,0.18738,0.67368,0.43007,0.2019,3.05607,498.768,3.30558,0.0099406,0.0099406,0.0099406
8,179.342,3.1257,2.56301,2.83758,0.17822,0.6,0.24732,0.10406,3.2007,357.895,3.42781,0.0099307,0.0099307,0.0099307
9,198.216,3.15061,2.56806,2.79892,0.59114,0.50526,0.51896,0.22583,3.09154,623.618,2.91637,0.0099208,0.0099208,0.0099208
10,217.103,3.10248,2.50759,2.78709,0.46212,0.43158,0.41292,0.19387,3.23017,109.207,3.05419,0.0099109,0.0099109,0.0099109
11,235.956,3.07448,2.59954,2.78036,0.60578,0.56842,0.60273,0.33497,3.08708,23.0285,3.12054,0.009901,0.009901,0.009901
12,254.883,3.0459,2.35916,2.78247,0.70364,0.58947,0.63827,0.34574,3.55108,51.9097,3.65736,0.0098911,0.0098911,0.0098911
13,273.708,3.08824,2.34505,2.72829,0.68706,0.72632,0.78584,0.46333,2.91853,5.48355,3.23008,0.0098812,0.0098812,0.0098812
14,292.673,3.024,2.27282,2.71226,0.42409,0.4961,0.43638,0.20597,3.59259,438.732,3.55035,0.0098713,0.0098713,0.0098713
15,311.554,2.94454,2.24239,2.66423,0.74379,0.76397,0.79883,0.46944,3.04572,10.1846,3.27229,0.0098614,0.0098614,0.0098614
16,330.473,2.87137,2.15305,2.61546,0.7904,0.71579,0.82296,0.50245,2.91261,4.49904,2.99559,0.0098515,0.0098515,0.0098515
17,349.383,2.85368,2.14743,2.63967,0.42812,0.6,0.41697,0.23935,2.80816,42.2449,2.75231,0.0098416,0.0098416,0.0098416
18,368.253,3.00296,2.25081,2.72835,0.63115,0.45032,0.4859,0.20813,4.20494,278.626,4.23351,0.0098317,0.0098317,0.0098317
19,387.103,2.8906,2.16215,2.67639,0.54519,0.39118,0.37089,0.17279,4.41544,80.3455,4.58536,0.0098218,0.0098218,0.0098218
20,405.93,2.85282,2.09161,2.65918,0.67085,0.67368,0.68237,0.33208,3.54985,6.71002,3.92885,0.0098119,0.0098119,0.0098119
21,424.78,2.87477,2.09085,2.65077,0.57728,0.76842,0.7233,0.43203,3.30137,3.60808,3.4797,0.009802,0.009802,0.009802
22,443.605,2.78125,2.06943,2.56169,0.6538,0.73684,0.73183,0.43706,3.00906,2.37272,3.27979,0.0097921,0.0097921,0.0097921
23,462.436,2.78531,1.95993,2.63149,0.59711,0.53684,0.60894,0.338,3.51506,17.0978,3.53371,0.0097822,0.0097822,0.0097822
24,481.27,2.85359,1.98438,2.67048,0.50871,0.61037,0.55815,0.29693,3.57462,17.9005,3.69566,0.0097723,0.0097723,0.0097723
25,500.057,2.73392,1.89704,2.57186,0.73991,0.78947,0.80481,0.48697,2.97524,4.53959,3.35011,0.0097624,0.0097624,0.0097624
26,518.956,2.75378,1.93043,2.57901,0.73944,0.77669,0.78212,0.49403,2.9802,2.1615,3.35813,0.0097525,0.0097525,0.0097525
27,537.847,2.71798,1.88297,2.54403,0.66814,0.72632,0.76624,0.46298,2.98951,6.53647,3.08598,0.0097426,0.0097426,0.0097426
28,556.631,2.80445,1.96641,2.57343,0.77683,0.62293,0.77524,0.47577,3.143,2.52027,3.26264,0.0097327,0.0097327,0.0097327
29,575.577,2.70298,1.85663,2.55714,0.62989,0.7166,0.72601,0.43966,3.00975,13.9739,3.18106,0.0097228,0.0097228,0.0097228
30,594.389,2.80803,1.91683,2.63367,0.62477,0.69474,0.71207,0.40873,3.495,8.63408,3.3714,0.0097129,0.0097129,0.0097129
31,613.214,2.74191,1.84399,2.58419,0.61834,0.68217,0.7059,0.34554,3.79186,8.36985,3.72573,0.009703,0.009703,0.009703
32,632.034,2.69033,1.73551,2.53153,0.70103,0.76842,0.77977,0.44113,3.06994,3.06222,3.38344,0.0096931,0.0096931,0.0096931
33,650.876,2.64693,1.87985,2.52742,0.8525,0.73684,0.85965,0.55286,2.83361,6.05425,3.22547,0.0096832,0.0096832,0.0096832
34,669.762,2.68394,1.69615,2.52162,0.74098,0.78297,0.82784,0.52511,2.56,2.44195,2.65074,0.0096733,0.0096733,0.0096733
35,688.563,2.59552,1.73491,2.53828,0.67848,0.82188,0.81175,0.49994,3.126,3.48674,3.44112,0.0096634,0.0096634,0.0096634
36,707.396,2.66602,1.75913,2.57765,0.84223,0.74737,0.83572,0.54634,2.63304,2.08104,2.80061,0.0096535,0.0096535,0.0096535
37,726.316,2.63917,1.78271,2.48526,0.81673,0.79748,0.87577,0.56562,2.93696,1.85422,3.32478,0.0096436,0.0096436,0.0096436
38,745.208,2.6089,1.68681,2.53098,0.81667,0.70339,0.81111,0.51282,2.69173,2.71338,2.6668,0.0096337,0.0096337,0.0096337
39,764.084,2.66369,1.65884,2.50452,0.74071,0.78187,0.7918,0.49272,3.24511,5.06745,3.71147,0.0096238,0.0096238,0.0096238
40,782.904,2.67281,1.63444,2.55332,0.74935,0.68421,0.75953,0.43989,3.24514,4.98138,3.52533,0.0096139,0.0096139,0.0096139
41,801.689,2.70778,1.66176,2.55484,0.76708,0.79734,0.84479,0.54389,2.85816,2.97004,3.25516,0.009604,0.009604,0.009604
42,820.548,2.59487,1.71828,2.46657,0.76589,0.62105,0.73687,0.47629,3.14675,2.78929,3.32976,0.0095941,0.0095941,0.0095941
43,839.317,2.5942,1.72201,2.4632,0.73966,0.80752,0.82537,0.5483,2.50954,1.76415,2.68128,0.0095842,0.0095842,0.0095842
44,858.071,2.539,1.55508,2.47054,0.79921,0.838,0.87136,0.54918,2.91045,1.86987,3.36251,0.0095743,0.0095743,0.0095743
45,876.962,2.58306,1.56108,2.48875,0.73855,0.77895,0.82125,0.53473,2.86156,2.31128,3.07809,0.0095644,0.0095644,0.0095644
46,895.811,2.56566,1.55577,2.41752,0.81785,0.88421,0.89575,0.57631,2.89971,1.63003,3.16436,0.0095545,0.0095545,0.0095545
47,914.679,2.66466,1.65903,2.55365,0.79268,0.8452,0.86815,0.56023,2.65651,6.08193,2.90673,0.0095446,0.0095446,0.0095446
48,933.542,2.51653,1.58474,2.47914,0.74282,0.8209,0.81418,0.50273,3.15832,38.6248,3.55728,0.0095347,0.0095347,0.0095347
49,952.31,2.54095,1.59603,2.48904,0.85996,0.7757,0.86586,0.55223,2.86266,1.89616,3.40661,0.0095248,0.0095248,0.0095248
