epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6917,1.68163,10.886,1.46501,0.74002,0.71915,0.71255,0.37444,1.59106,1.75427,1.38111,0.0029,0.0029,0.0029
2,36.1448,1.36852,1.37399,1.1361,0.88435,0.80497,0.90975,0.56658,1.63252,0.92501,1.30843,0.00589708,0.00589708,0.00589708
3,51.4084,1.37407,1.3926,1.10599,0.75399,0.82105,0.85065,0.47765,1.57489,8.15242,1.26875,0.00889119,0.00889119,0.00889119
4,66.6942,1.5362,1.47396,1.16628,0.3081,0.48421,0.35259,0.17318,1.53305,157.024,1.19628,0.00998515,0.00998515,0.00998515
5,82.0495,1.55597,1.52454,1.18081,0.48367,0.48421,0.4588,0.21729,2.24252,44.042,2.27453,0.0099802,0.0099802,0.0099802
6,97.4857,1.56357,1.41397,1.19098,0.69333,0.54737,0.54399,0.27707,1.71878,981.169,1.82007,0.00997525,0.00997525,0.00997525
7,112.748,1.51862,1.53259,1.20366,0.69829,0.67368,0.6788,0.37751,1.67904,48.5692,1.53011,0.0099703,0.0099703,0.0099703
8,128.025,1.51605,1.3236,1.2443,0.31274,0.42105,0.27375,0.13313,2.20856,140.429,2.03284,0.00996535,0.00996535,0.00996535
9,143.345,1.47099,1.19203,1.21555,0.75542,0.63158,0.70486,0.41815,1.7324,51.3843,1.53208,0.0099604,0.0099604,0.0099604
10,158.587,1.45251,1.18283,1.21351,0.69456,0.63158,0.7251,0.38242,1.943,13.3744,1.74588,0.00995545,0.00995545,0.00995545
11,173.964,1.4651,1.19792,1.21905,0.50386,0.53684,0.52387,0.25611,1.97676,136.585,1.84572,0.0099505,0.0099505,0.0099505
12,189.201,1.45726,1.13814,1.22965,0.51118,0.49474,0.48696,0.25208,1.94188,7.36818,1.5806,0.00994555,0.00994555,0.00994555
13,204.409,1.44636,1.10948,1.19698,0.45883,0.51579,0.43004,0.18481,1.83268,5.96886,1.45644,0.0099406,0.0099406,0.0099406
14,219.668,1.43369,1.0934,1.20241,0.20677,0.53233,0.19383,0.09095,1.91762,68.2622,1.62319,0.00993565,0.00993565,0.00993565
15,234.931,1.40728,1.04489,1.18506,0.4766,0.49474,0.44947,0.18658,1.77678,43.3278,1.50804,0.0099307,0.0099307,0.0099307
16,250.13,1.37884,1.02507,1.16307,0.67529,0.78947,0.77577,0.50575,1.66958,2.70568,1.46047,0.00992575,0.00992575,0.00992575
17,265.363,1.33884,1.04279,1.16717,0.7102,0.8771,0.87326,0.56753,1.35054,3.31025,1.18783,0.0099208,0.0099208,0.0099208
18,280.617,1.41778,1.06338,1.20641,0.4917,0.6517,0.58725,0.27638,2.05193,29.6068,1.72287,0.00991585,0.00991585,0.00991585
19,295.961,1.38638,1.04699,1.19325,0.3016,0.41822,0.27281,0.12361,2.18656,154.374,1.90332,0.0099109,0.0099109,0.0099109
20,311.218,1.37052,1.01071,1.1934,0.81079,0.68421,0.74506,0.46293,1.68387,45.1743,1.59655,0.00990595,0.00990595,0.00990595
21,326.415,1.39508,0.98447,1.20642,0.77068,0.81053,0.84853,0.48411,1.63218,2.64673,1.43575,0.009901,0.009901,0.009901
