epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,666.838,1.25782,0.80412,1.31576,0.7407,0.81189,0.85552,0.56896,1.38172,1.50196,1.62293,0.0018614,0.0018614,0.0018614
44,682.199,1.27098,0.78482,1.32166,0.69688,0.81053,0.79067,0.48358,1.49208,2.07635,1.60116,0.0018581,0.0018581,0.0018581
45,697.572,1.24765,0.75189,1.31756,0.8609,0.91208,0.9112,0.59263,1.49978,11.2714,1.76079,0.0018548,0.0018548,0.0018548
46,712.958,1.23683,0.76275,1.27567,0.87536,0.89474,0.91725,0.59854,1.44901,0.76548,1.70428,0.0018515,0.0018515,0.0018515
47,728.321,1.27232,0.77433,1.31688,0.8824,0.84211,0.89433,0.59276,1.27187,1.16349,1.48906,0.0018482,0.0018482,0.0018482
48,743.702,1.20152,0.77781,1.27055,0.65678,0.61053,0.68096,0.32575,2.01361,1.96733,2.10154,0.0018449,0.0018449,0.0018449
49,759.058,1.24007,0.79467,1.30229,0.82296,0.86316,0.88719,0.5561,1.49527,1.6618,1.75694,0.0018416,0.0018416,0.0018416
50,774.368,1.21686,0.7714,1.25271,0.79496,0.87368,0.89287,0.57064,1.52963,0.86454,1.7159,0.0018383,0.0018383,0.0018383
51,789.769,1.20742,0.79446,1.26698,0.76392,0.87368,0.86148,0.5345,1.49662,1.44097,1.81352,0.001835,0.001835,0.001835
52,805.208,1.19537,0.76396,1.26705,0.7802,0.84211,0.84785,0.55934,1.46273,54.9748,1.72492,0.0018317,0.0018317,0.0018317
53,820.508,1.21809,0.76148,1.30151,0.8601,0.90526,0.93099,0.58967,1.47349,0.81189,1.74508,0.0018284,0.0018284,0.0018284
54,835.907,1.20244,0.78426,1.26743,0.74428,0.73529,0.82467,0.46462,1.77849,2.00828,1.97682,0.0018251,0.0018251,0.0018251
55,851.222,1.20148,0.78786,1.28184,0.90474,0.89981,0.93456,0.63316,1.33759,0.79109,1.65117,0.0018218,0.0018218,0.0018218
56,866.688,1.18821,0.79395,1.27581,0.7674,0.86825,0.87268,0.56044,1.58412,1.31977,1.78743,0.0018185,0.0018185,0.0018185
57,882.008,1.14573,0.73177,1.22054,0.82186,0.92276,0.92566,0.56988,1.51826,0.80691,1.84986,0.0018152,0.0018152,0.0018152
58,897.404,1.19516,0.7408,1.26419,0.90108,0.86295,0.93226,0.60229,1.5622,0.74327,1.8792,0.0018119,0.0018119,0.0018119
59,912.759,1.22713,0.76329,1.27843,0.82933,0.83158,0.90825,0.57892,1.52753,1.08994,1.76651,0.0018086,0.0018086,0.0018086
60,928.11,1.1974,0.76172,1.25115,0.86541,0.81226,0.8875,0.57722,1.46836,1.44442,1.69069,0.0018053,0.0018053,0.0018053
