epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1842,3.41692,107.646,2.94271,0.00107,0.72632,0.00094,0.00042,4.38702,inf,4.61247,0.00058,0.00058,0.00058
2,67.1562,3.66617,6.18282,3.21792,0.00107,0.72632,0.00094,0.00042,nan,nan,nan,0.00117805,0.00117805,0.00117805
3,85.8246,3.7794,3.88453,3.33709,0.00107,0.72632,0.00094,0.00042,nan,nan,nan,0.00177413,0.00177413,0.00177413
4,104.716,3.72833,3.80923,3.32938,0.00017,0.12632,0.0001,4e-05,7.52666,inf,95.1664,0.0019901,0.0019901,0.0019901
5,123.471,3.62048,3.23114,3.20148,0.02021,0.12632,0.00563,0.00207,5.74784,1244.17,8.69299,0.0019868,0.0019868,0.0019868
6,142.286,3.53998,3.06574,3.23209,0.56111,0.54737,0.55453,0.26901,3.42607,129.275,4.44485,0.0019835,0.0019835,0.0019835
7,161.125,3.40789,3.08477,3.14529,0.55807,0.53684,0.5568,0.32044,3.45991,36.498,4.01416,0.0019802,0.0019802,0.0019802
8,180.078,3.32312,2.89434,3.10483,0.78123,0.50526,0.61178,0.31023,3.19681,60.6936,3.49495,0.0019769,0.0019769,0.0019769
9,198.883,3.31783,2.7687,3.05363,0.57205,0.46316,0.47154,0.2208,3.28858,18.4809,3.60905,0.0019736,0.0019736,0.0019736
10,217.654,3.26011,2.78222,3.04368,0.67363,0.56842,0.64447,0.31104,3.28584,49.1334,3.47333,0.0019703,0.0019703,0.0019703
11,236.478,3.17285,2.62654,2.95042,0.5405,0.58197,0.54921,0.25768,3.83294,22.3086,4.10151,0.001967,0.001967,0.001967
12,255.316,3.15738,2.49407,2.97673,0.68915,0.50526,0.56482,0.29564,3.66011,27.2655,3.96144,0.0019637,0.0019637,0.0019637
13,274.093,3.21526,2.38046,2.98167,0.672,0.56074,0.62097,0.36667,3.29891,15.6414,3.86257,0.0019604,0.0019604,0.0019604
14,292.863,3.1915,2.30635,3.05015,0.6499,0.64211,0.60719,0.32331,3.61927,6.99296,4.12728,0.0019571,0.0019571,0.0019571
15,311.629,3.14691,2.2329,3.0253,0.55641,0.44211,0.4498,0.26057,3.81537,8.12963,3.95535,0.0019538,0.0019538,0.0019538
16,330.406,3.09135,2.17673,2.93052,0.77368,0.57577,0.72159,0.41426,3.40152,4.56964,3.63814,0.0019505,0.0019505,0.0019505
17,349.261,2.95128,2.20295,2.90193,0.78449,0.76637,0.82551,0.52963,3.16002,2.3029,3.60802,0.0019472,0.0019472,0.0019472
18,368.111,3.04222,2.27842,3.00421,0.78081,0.62105,0.72192,0.41145,3.43463,12.7998,3.6642,0.0019439,0.0019439,0.0019439
19,386.865,2.95607,2.22485,2.86291,0.68861,0.75789,0.7671,0.48541,3.38092,12.9031,3.77691,0.0019406,0.0019406,0.0019406
