epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,658.469,1.2463,0.87146,1.10647,0.62422,0.49474,0.48535,0.21128,2.66595,114.251,2.34013,0.0095941,0.0095941,0.0095941
43,674.047,1.27133,0.85166,1.12353,0.8364,0.9149,0.8667,0.5851,1.43852,1.68399,1.28202,0.0095842,0.0095842,0.0095842
44,689.505,1.25639,0.82977,1.13372,0.85613,0.88421,0.90593,0.57956,1.54958,1.30857,1.35703,0.0095743,0.0095743,0.0095743
45,704.889,1.25223,0.80133,1.13278,0.87543,0.88773,0.91837,0.60619,1.26348,0.8819,1.17979,0.0095644,0.0095644,0.0095644
46,720.411,1.258,0.81417,1.10955,0.69827,0.80391,0.79139,0.47191,1.50098,1.72609,1.30702,0.0095545,0.0095545,0.0095545
47,735.868,1.30053,0.85696,1.1476,0.76639,0.82105,0.83955,0.47965,1.59548,3.06885,1.42151,0.0095446,0.0095446,0.0095446
48,751.293,1.20503,0.82591,1.11455,0.78115,0.81053,0.87637,0.53179,1.70734,2.2884,1.51453,0.0095347,0.0095347,0.0095347
49,766.723,1.21898,0.78825,1.11556,0.80975,0.82105,0.87745,0.56107,1.446,1.60252,1.31878,0.0095248,0.0095248,0.0095248
50,782.182,1.23844,0.80073,1.09853,0.78784,0.89904,0.90694,0.56286,1.48399,1.37604,1.33127,0.0095149,0.0095149,0.0095149
51,797.601,1.24628,0.82409,1.118,0.72451,0.78947,0.80182,0.43532,1.85888,1.85542,1.60443,0.009505,0.009505,0.009505
52,813.077,1.18881,0.79646,1.10332,0.91887,0.89474,0.9367,0.60845,1.47392,1.03292,1.44266,0.0094951,0.0094951,0.0094951
53,828.579,1.23429,0.7964,1.13022,0.85627,0.88421,0.93,0.56651,1.46942,0.81319,1.37973,0.0094852,0.0094852,0.0094852
